samples/CAM_FRONT/n015-2018-08-02-17-16-37+0800__CAM_FRONT__1533201470412460.jpg [[709.1936367254442, 0.0, 457.1095330032193], [0.0, 709.1936367254442, 275.2439580158948], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295928937558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295928947405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295928904810.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295929412404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295929420482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295929428113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295929437558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295929447405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295929404799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295929912404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295929920482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295929928113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295929937562.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295929947405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295929904799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295930412404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295930420482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295930428113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295930447405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295930437558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295930404799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295930912404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295930920482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295930928113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295930937558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295930904799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295930947405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295931412404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295931420482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295931428113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295931437558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295931449877.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295931404799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295931912404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295931920482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295931928113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295931937558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295931947405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295931904799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295932412404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295932420482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295932428113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295932437568.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295932447405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295932404799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295932912404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295932920482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295932928113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295932937558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295932947405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295932904799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295933412404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295933420482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295933428113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295933437558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295933447405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295933404799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295946862404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295946870482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295946878113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295946888208.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295946897405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295946854799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295947362404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295947370482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295947378113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295947387558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295947397405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295947354799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295947862404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295947870482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295947878113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295947887558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295947897405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295947855052.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295948362404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295948370482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295948378113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295948397405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295948387558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295948354799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295948870482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295948862404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295948878113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295948897414.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295948887558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295948854799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295949362404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295949370482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295949378113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295949387558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295949397405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295949354799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295949862404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295949870482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295949878113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295949887558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295949897405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295949854799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295950362404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295950370482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295950378113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295950387558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295950397405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295950354799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295950862404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295950870482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295950887558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295950878113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK_LEFT/n008-2018-09-18-14-35-12-0400__CAM_BACK_LEFT__1537295950897405.jpg [[702.7921946769293, 0.0, 464.56308466120106], [0.0, 702.7921946769293, 261.61411257819873], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_LEFT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_LEFT__1537295950854799.jpg [[704.4030221579852, 0.0, 463.25499731365477], [0.0, 704.4030221579852, 252.51268007029975], [0.0, 0.0, 1.0]]
samples/CAM_FRONT/n008-2018-09-18-14-35-12-0400__CAM_FRONT__1537295951362404.jpg [[701.5753401733162, 0.0, 462.8893462483225], [0.0, 701.5753401733162, 263.19141218910727], [0.0, 0.0, 1.0]]
samples/CAM_FRONT_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_FRONT_RIGHT__1537295951370482.jpg [[703.7791695169847, 0.0, 457.9617059235042], [0.0, 703.7791695169844, 253.09434076286985], [0.0, 0.0, 1.0]]
samples/CAM_BACK_RIGHT/n008-2018-09-18-14-35-12-0400__CAM_BACK_RIGHT__1537295951378113.jpg [[699.979242704285, 0.0, 462.2110125089068], [0.0, 699.979242704285, 259.0269728627698], [0.0, 0.0, 1.0]]
samples/CAM_BACK/n008-2018-09-18-14-35-12-0400__CAM_BACK__1537295951387558.jpg [[446.2589974321096, 0.0, 480.3553643494677], [0.0, 446.2589974321096, 267.0555444877975], [0.0, 0.0, 1.0]]
